"2023-05-10 00:19:56,592 [INFO] Reporter Initialized!
"2023-05-10 00:19:56,593 [INFO] Reporter LEVEL: info
"2023-05-10 00:19:56,595 [INFO] Usung random data
"2023-05-10 00:19:56,717 [INFO] None
"2023-05-10 00:19:56,717 [INFO] Device(cpu) is working for train
"2023-05-10 00:19:56,718 [INFO] Train Started
"2023-05-10 00:19:57,590 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/0.onnx
"2023-05-10 00:19:57,591 [INFO] ===== Saved non-trained network
"2023-05-10 00:20:45,057 [INFO] EPISODE 1650, LOSS 0.17082206904888153
"2023-05-10 00:20:45,325 [INFO] EPISODE 1660, LOSS 0.1495979130268097
"2023-05-10 00:20:45,595 [INFO] EPISODE 1670, LOSS 0.2213536649942398
"2023-05-10 00:20:45,896 [INFO] EPISODE 1680, LOSS 0.10798874497413635
"2023-05-10 00:20:46,165 [INFO] EPISODE 1690, LOSS 0.09359381347894669
"2023-05-10 00:20:46,430 [INFO] EPISODE 1700, LOSS 0.15856952965259552
"2023-05-10 00:20:46,701 [INFO] EPISODE 1710, LOSS 0.24665550887584686
"2023-05-10 00:20:46,961 [INFO] EPISODE 1720, LOSS 0.25080257654190063
"2023-05-10 00:20:47,231 [INFO] EPISODE 1730, LOSS 0.18676604330539703
"2023-05-10 00:20:47,489 [INFO] EPISODE 1740, LOSS 0.1384299248456955
"2023-05-10 00:20:47,767 [INFO] EPISODE 1750, LOSS 0.2693244218826294
"2023-05-10 00:20:48,033 [INFO] EPISODE 1760, LOSS 0.20559974014759064
"2023-05-10 00:20:48,387 [INFO] EPISODE 1770, LOSS 0.18018829822540283
"2023-05-10 00:20:48,648 [INFO] EPISODE 1780, LOSS 0.09898782521486282
"2023-05-10 00:20:48,906 [INFO] EPISODE 1790, LOSS 0.1182795986533165
"2023-05-10 00:20:49,170 [INFO] EPISODE 1800, LOSS 0.18068653345108032
"2023-05-10 00:20:49,429 [INFO] EPISODE 1810, LOSS 0.14797405898571014
"2023-05-10 00:20:49,695 [INFO] EPISODE 1820, LOSS 0.10624092072248459
"2023-05-10 00:20:49,954 [INFO] EPISODE 1830, LOSS 0.1503077745437622
"2023-05-10 00:20:50,279 [INFO] EPISODE 1840, LOSS 0.0484795868396759
"2023-05-10 00:20:50,586 [INFO] EPISODE 1850, LOSS 0.13640792667865753
"2023-05-10 00:20:50,860 [INFO] EPISODE 1860, LOSS 0.0824548676609993
"2023-05-10 00:20:51,128 [INFO] EPISODE 1870, LOSS 0.10476332902908325
"2023-05-10 00:20:51,383 [INFO] EPISODE 1880, LOSS 0.1280660182237625
"2023-05-10 00:20:51,654 [INFO] EPISODE 1890, LOSS 0.14973853528499603
"2023-05-10 00:20:51,914 [INFO] EPISODE 1900, LOSS 0.16400711238384247
"2023-05-10 00:20:52,178 [INFO] EPISODE 1910, LOSS 0.13376952707767487
"2023-05-10 00:20:52,439 [INFO] EPISODE 1920, LOSS 0.1524040848016739
"2023-05-10 00:20:52,723 [INFO] EPISODE 1930, LOSS 0.12232768535614014
"2023-05-10 00:20:52,993 [INFO] EPISODE 1940, LOSS 0.2081749439239502
"2023-05-10 00:20:53,262 [INFO] EPISODE 1950, LOSS 0.1445157676935196
"2023-05-10 00:20:53,526 [INFO] EPISODE 1960, LOSS 0.23991595208644867
"2023-05-10 00:20:53,797 [INFO] EPISODE 1970, LOSS 0.07203719764947891
"2023-05-10 00:20:54,169 [INFO] EPISODE 1980, LOSS 0.18261782824993134
"2023-05-10 00:20:54,437 [INFO] EPISODE 1990, LOSS 0.08523163944482803
"2023-05-10 00:20:54,746 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/2000.onnx
"2023-05-10 00:20:54,746 [INFO] EPISODE 2000, LOSS 0.2035176157951355
"2023-05-10 00:20:55,008 [INFO] EPISODE 2010, LOSS 0.10122782737016678
"2023-05-10 00:20:55,277 [INFO] EPISODE 2020, LOSS 0.15986979007720947
"2023-05-10 00:20:55,540 [INFO] EPISODE 2030, LOSS 0.1871047466993332
"2023-05-10 00:20:55,810 [INFO] EPISODE 2040, LOSS 0.19816835224628448
"2023-05-10 00:20:56,075 [INFO] EPISODE 2050, LOSS 0.14037005603313446
"2023-05-10 00:20:56,335 [INFO] EPISODE 2060, LOSS 0.0965656265616417
"2023-05-10 00:20:56,589 [INFO] EPISODE 2070, LOSS 0.16901423037052155
"2023-05-10 00:20:56,844 [INFO] EPISODE 2080, LOSS 0.19000087678432465
"2023-05-10 00:20:57,098 [INFO] EPISODE 2090, LOSS 0.1163797602057457
"2023-05-10 00:20:57,368 [INFO] EPISODE 2100, LOSS 0.2123979926109314
"2023-05-10 00:20:57,632 [INFO] EPISODE 2110, LOSS 0.20041464269161224
"2023-05-10 00:20:57,896 [INFO] EPISODE 2120, LOSS 0.10440199822187424
"2023-05-10 00:20:58,307 [INFO] EPISODE 2130, LOSS 0.1389930248260498
"2023-05-10 00:20:58,670 [INFO] EPISODE 2140, LOSS 0.19615699350833893
"2023-05-10 00:20:59,354 [INFO] EPISODE 2150, LOSS 0.1502690613269806
"2023-05-10 00:20:59,764 [INFO] EPISODE 2160, LOSS 0.13704578578472137
"2023-05-10 00:21:00,199 [INFO] EPISODE 2170, LOSS 0.13278217613697052
"2023-05-10 00:21:00,594 [INFO] EPISODE 2180, LOSS 0.11927803605794907
"2023-05-10 00:21:01,176 [INFO] EPISODE 2190, LOSS 0.23247887194156647
"2023-05-10 00:21:01,591 [INFO] EPISODE 2200, LOSS 0.22779101133346558
"2023-05-10 00:21:01,873 [INFO] EPISODE 2210, LOSS 0.20622658729553223
"2023-05-10 00:21:02,120 [INFO] EPISODE 2220, LOSS 0.2747955322265625
"2023-05-10 00:21:02,389 [INFO] EPISODE 2230, LOSS 0.14370061457157135
"2023-05-10 00:21:02,669 [INFO] EPISODE 2240, LOSS 0.12915997207164764
"2023-05-10 00:21:02,932 [INFO] EPISODE 2250, LOSS 0.07486288994550705
"2023-05-10 00:21:03,208 [INFO] EPISODE 2260, LOSS 0.12782509624958038
"2023-05-10 00:21:03,480 [INFO] EPISODE 2270, LOSS 0.09382522851228714
"2023-05-10 00:21:03,734 [INFO] EPISODE 2280, LOSS 0.1844942718744278
"2023-05-10 00:21:03,981 [INFO] EPISODE 2290, LOSS 0.1604905128479004
"2023-05-10 00:21:04,244 [INFO] EPISODE 2300, LOSS 0.2566233277320862
"2023-05-10 00:21:04,513 [INFO] EPISODE 2310, LOSS 0.14664554595947266
"2023-05-10 00:21:04,766 [INFO] EPISODE 2320, LOSS 0.1428089588880539
"2023-05-10 00:21:05,030 [INFO] EPISODE 2330, LOSS 0.12103221565485
"2023-05-10 00:21:05,297 [INFO] EPISODE 2340, LOSS 0.21589171886444092
"2023-05-10 00:21:05,568 [INFO] EPISODE 2350, LOSS 0.09309149533510208
"2023-05-10 00:21:05,891 [INFO] EPISODE 2360, LOSS 0.09040885418653488
"2023-05-10 00:21:06,167 [INFO] EPISODE 2370, LOSS 0.1887984424829483
"2023-05-10 00:21:06,369 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/2372.onnx
"2023-05-10 00:21:06,455 [INFO] EPISODE 2380, LOSS 0.29292377829551697
"2023-05-10 00:21:06,805 [INFO] ===== ONNX SAVED at ./savemodel/0510_1219AM_MY_PDE/2390.onnx
"2023-05-10 00:21:06,806 [INFO] EPISODE 2390, LOSS 0.045878808945417404
"2023-05-10 00:21:07,181 [INFO] EPISODE 2400, LOSS 0.1363612413406372
"2023-05-10 00:21:07,499 [INFO] EPISODE 2410, LOSS 0.09251036494970322
"2023-05-10 00:21:07,904 [INFO] EPISODE 2420, LOSS 0.16311456263065338
"2023-05-10 00:21:08,164 [INFO] EPISODE 2430, LOSS 0.24380601942539215
"2023-05-10 00:21:08,438 [INFO] EPISODE 2440, LOSS 0.12087171524763107
"2023-05-10 00:21:08,698 [INFO] EPISODE 2450, LOSS 0.1725471019744873
"2023-05-10 00:21:08,987 [INFO] EPISODE 2460, LOSS 0.2590027153491974
"2023-05-10 00:21:09,349 [INFO] EPISODE 2470, LOSS 0.1693943738937378
"2023-05-10 00:21:09,677 [INFO] EPISODE 2480, LOSS 0.1906796544790268
"2023-05-10 00:21:09,987 [INFO] EPISODE 2490, LOSS 0.13072575628757477
"2023-05-10 00:21:10,300 [INFO] EPISODE 2500, LOSS 0.16825740039348602
"2023-05-10 00:21:10,548 [INFO] EPISODE 2510, LOSS 0.23974615335464478
"2023-05-10 00:21:10,829 [INFO] EPISODE 2520, LOSS 0.1414075493812561
"2023-05-10 00:21:11,107 [INFO] EPISODE 2530, LOSS 0.19045031070709229
"2023-05-10 00:21:11,381 [INFO] EPISODE 2540, LOSS 0.1313341110944748
"2023-05-10 00:21:11,652 [INFO] EPISODE 2550, LOSS 0.14961910247802734
