"2023-05-10 14:38:18,556 [INFO] Reporter Initialized!
"2023-05-10 14:38:18,557 [INFO] Reporter LEVEL: info
"2023-05-10 14:38:18,557 [INFO] Usung random data
"2023-05-10 14:38:19,764 [INFO] None
"2023-05-10 14:38:19,764 [INFO] Device(cuda) is working for train
"2023-05-10 14:38:19,764 [INFO] Train Started
"2023-05-10 14:38:19,784 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/0.onnx
"2023-05-10 14:38:19,784 [INFO] ===== Saved non-trained network
"2023-05-10 14:38:47,172 [INFO] EPISODE 1920, LOSS 0.25452274084091187
"2023-05-10 14:38:47,313 [INFO] EPISODE 1930, LOSS 0.20147806406021118
"2023-05-10 14:38:47,445 [INFO] EPISODE 1940, LOSS 0.22227314114570618
"2023-05-10 14:38:47,580 [INFO] EPISODE 1950, LOSS 0.1277499496936798
"2023-05-10 14:38:47,721 [INFO] EPISODE 1960, LOSS 0.2276558130979538
"2023-05-10 14:38:47,863 [INFO] EPISODE 1970, LOSS 0.1547851264476776
"2023-05-10 14:38:48,000 [INFO] EPISODE 1980, LOSS 0.22315546870231628
"2023-05-10 14:38:48,135 [INFO] EPISODE 1990, LOSS 0.23748543858528137
"2023-05-10 14:38:48,278 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/2000.onnx
"2023-05-10 14:38:48,278 [INFO] EPISODE 2000, LOSS 0.1443558931350708
"2023-05-10 14:38:48,417 [INFO] EPISODE 2010, LOSS 0.10554693639278412
"2023-05-10 14:38:48,552 [INFO] EPISODE 2020, LOSS 0.13986611366271973
"2023-05-10 14:38:48,688 [INFO] EPISODE 2030, LOSS 0.1245652288198471
"2023-05-10 14:38:48,827 [INFO] EPISODE 2040, LOSS 0.1481671929359436
"2023-05-10 14:38:48,963 [INFO] EPISODE 2050, LOSS 0.2098783701658249
"2023-05-10 14:38:49,096 [INFO] EPISODE 2060, LOSS 0.18141774833202362
"2023-05-10 14:38:49,295 [INFO] EPISODE 2070, LOSS 0.15055352449417114
"2023-05-10 14:38:49,432 [INFO] EPISODE 2080, LOSS 0.20895597338676453
"2023-05-10 14:38:49,563 [INFO] EPISODE 2090, LOSS 0.2386562079191208
"2023-05-10 14:38:49,697 [INFO] EPISODE 2100, LOSS 0.19488126039505005
"2023-05-10 14:38:49,835 [INFO] EPISODE 2110, LOSS 0.1551915407180786
"2023-05-10 14:38:49,969 [INFO] EPISODE 2120, LOSS 0.2180074155330658
"2023-05-10 14:38:50,102 [INFO] EPISODE 2130, LOSS 0.21430304646492004
"2023-05-10 14:38:50,230 [INFO] EPISODE 2140, LOSS 0.13976280391216278
"2023-05-10 14:38:50,352 [INFO] EPISODE 2150, LOSS 0.23098376393318176
"2023-05-10 14:38:50,482 [INFO] EPISODE 2160, LOSS 0.17807012796401978
"2023-05-10 14:38:50,622 [INFO] EPISODE 2170, LOSS 0.13163554668426514
"2023-05-10 14:38:50,741 [INFO] EPISODE 2180, LOSS 0.2738173305988312
"2023-05-10 14:38:50,876 [INFO] EPISODE 2190, LOSS 0.15498916804790497
"2023-05-10 14:38:51,013 [INFO] EPISODE 2200, LOSS 0.2851220369338989
"2023-05-10 14:38:51,156 [INFO] EPISODE 2210, LOSS 0.26204246282577515
"2023-05-10 14:38:51,278 [INFO] EPISODE 2220, LOSS 0.13621358573436737
"2023-05-10 14:38:51,413 [INFO] EPISODE 2230, LOSS 0.21347150206565857
"2023-05-10 14:38:51,550 [INFO] EPISODE 2240, LOSS 0.2382974475622177
"2023-05-10 14:38:51,681 [INFO] EPISODE 2250, LOSS 0.12641066312789917
"2023-05-10 14:38:51,815 [INFO] EPISODE 2260, LOSS 0.1415363848209381
"2023-05-10 14:38:51,946 [INFO] EPISODE 2270, LOSS 0.18448540568351746
"2023-05-10 14:38:52,138 [INFO] EPISODE 2280, LOSS 0.21918347477912903
"2023-05-10 14:38:52,271 [INFO] EPISODE 2290, LOSS 0.13312572240829468
"2023-05-10 14:38:52,402 [INFO] EPISODE 2300, LOSS 0.2267172783613205
"2023-05-10 14:38:52,522 [INFO] ===== ONNX SAVED at ./savemodel/0510_0238PM_MY_PDE/2307.onnx
"2023-05-10 14:38:52,547 [INFO] EPISODE 2310, LOSS 0.15824568271636963
"2023-05-10 14:38:52,680 [INFO] EPISODE 2320, LOSS 0.26525217294692993
"2023-05-10 14:38:52,815 [INFO] EPISODE 2330, LOSS 0.19082127511501312
"2023-05-10 14:38:52,959 [INFO] EPISODE 2340, LOSS 0.2629609704017639
"2023-05-10 14:38:53,097 [INFO] EPISODE 2350, LOSS 0.23059678077697754
"2023-05-10 14:38:53,231 [INFO] EPISODE 2360, LOSS 0.12443026155233383
"2023-05-10 14:38:53,362 [INFO] EPISODE 2370, LOSS 0.17848607897758484
"2023-05-10 14:38:53,499 [INFO] EPISODE 2380, LOSS 0.1249890848994255
"2023-05-10 14:38:53,623 [INFO] EPISODE 2390, LOSS 0.15521949529647827
"2023-05-10 14:38:53,768 [INFO] EPISODE 2400, LOSS 0.3318387269973755
"2023-05-10 14:38:53,904 [INFO] EPISODE 2410, LOSS 0.17967399954795837
