"2023-05-10 15:13:45,712 [INFO] Reporter Initialized!
"2023-05-10 15:13:45,712 [INFO] Reporter LEVEL: info
"2023-05-10 15:13:45,712 [INFO] Usung random data
"2023-05-10 15:13:46,946 [INFO] None
"2023-05-10 15:13:46,946 [INFO] Device(cuda) is working for train
"2023-05-10 15:13:46,946 [INFO] Train Started
"2023-05-10 15:14:10,105 [INFO] EPISODE 1640, LOSS 0.16852781176567078
"2023-05-10 15:14:10,240 [INFO] EPISODE 1650, LOSS 0.11529757082462311
"2023-05-10 15:14:10,375 [INFO] EPISODE 1660, LOSS 0.254375696182251
"2023-05-10 15:14:10,504 [INFO] EPISODE 1670, LOSS 0.1505713015794754
"2023-05-10 15:14:10,643 [INFO] EPISODE 1680, LOSS 0.2782416045665741
"2023-05-10 15:14:10,798 [INFO] EPISODE 1690, LOSS 0.14221127331256866
"2023-05-10 15:14:10,935 [INFO] EPISODE 1700, LOSS 0.14899000525474548
"2023-05-10 15:14:11,076 [INFO] EPISODE 1710, LOSS 0.09779523313045502
"2023-05-10 15:14:11,215 [INFO] EPISODE 1720, LOSS 0.08167532086372375
"2023-05-10 15:14:11,347 [INFO] EPISODE 1730, LOSS 0.2610044479370117
"2023-05-10 15:14:11,477 [INFO] EPISODE 1740, LOSS 0.14879170060157776
"2023-05-10 15:14:11,611 [INFO] EPISODE 1750, LOSS 0.17270641028881073
"2023-05-10 15:14:11,707 [INFO] ===== ONNX SAVED at ./savemodel/0510_0313PM_MY_PDE/1754.onnx
"2023-05-10 15:14:11,758 [INFO] EPISODE 1760, LOSS 0.16848933696746826
"2023-05-10 15:14:11,888 [INFO] EPISODE 1770, LOSS 0.23848466575145721
"2023-05-10 15:14:12,080 [INFO] EPISODE 1780, LOSS 0.11014848202466965
"2023-05-10 15:14:12,237 [INFO] EPISODE 1790, LOSS 0.17092883586883545
"2023-05-10 15:14:12,373 [INFO] EPISODE 1800, LOSS 0.08538509905338287
"2023-05-10 15:14:12,505 [INFO] EPISODE 1810, LOSS 0.17466752231121063
"2023-05-10 15:14:12,629 [INFO] EPISODE 1820, LOSS 0.23676955699920654
"2023-05-10 15:14:12,769 [INFO] EPISODE 1830, LOSS 0.2507838010787964
"2023-05-10 15:14:12,902 [INFO] EPISODE 1840, LOSS 0.372559517621994
"2023-05-10 15:14:13,025 [INFO] EPISODE 1850, LOSS 0.15853971242904663
"2023-05-10 15:14:13,160 [INFO] EPISODE 1860, LOSS 0.3232539892196655
"2023-05-10 15:14:13,294 [INFO] EPISODE 1870, LOSS 0.17236536741256714
"2023-05-10 15:14:13,427 [INFO] EPISODE 1880, LOSS 0.05943341553211212
"2023-05-10 15:14:13,561 [INFO] EPISODE 1890, LOSS 0.20355099439620972
"2023-05-10 15:14:13,696 [INFO] EPISODE 1900, LOSS 0.11472483724355698
"2023-05-10 15:14:13,831 [INFO] EPISODE 1910, LOSS 0.10727852582931519
"2023-05-10 15:14:13,964 [INFO] EPISODE 1920, LOSS 0.26378345489501953
"2023-05-10 15:14:14,101 [INFO] EPISODE 1930, LOSS 0.1809980571269989
"2023-05-10 15:14:14,237 [INFO] EPISODE 1940, LOSS 0.18744656443595886
"2023-05-10 15:14:14,373 [INFO] EPISODE 1950, LOSS 0.1474950909614563
"2023-05-10 15:14:14,506 [INFO] EPISODE 1960, LOSS 0.19520223140716553
