"2023-05-07 19:28:09,900 [INFO] Reporter Initialized!
"2023-05-07 19:28:09,900 [INFO] Reporter LEVEL: info
"2023-05-07 19:28:10,264 [INFO] Loaded csv data is 0507_0621PM
"2023-05-07 19:28:13,415 [INFO] None
"2023-05-07 19:28:13,415 [INFO] Device(cuda) is working for train
"2023-05-07 19:28:13,415 [INFO] Train Started
"2023-05-07 19:32:45,612 [INFO] EPISODE 2320, LOSS 2107.3740234375
"2023-05-07 19:32:46,850 [INFO] EPISODE 2330, LOSS 4094.650146484375
"2023-05-07 19:32:48,025 [INFO] EPISODE 2340, LOSS 4069.132568359375
"2023-05-07 19:32:49,231 [INFO] EPISODE 2350, LOSS 1469.6629638671875
"2023-05-07 19:32:50,397 [INFO] EPISODE 2360, LOSS 3974.42138671875
"2023-05-07 19:32:51,425 [INFO] EPISODE 2370, LOSS 4697.3740234375
"2023-05-07 19:32:52,561 [INFO] EPISODE 2380, LOSS 2058.865234375
"2023-05-07 19:32:53,700 [INFO] EPISODE 2390, LOSS 2368.22802734375
"2023-05-07 19:32:54,864 [INFO] EPISODE 2400, LOSS 1600.63818359375
"2023-05-07 19:32:56,036 [INFO] EPISODE 2410, LOSS 3300.15087890625
"2023-05-07 19:32:57,180 [INFO] EPISODE 2420, LOSS 2528.2109375
"2023-05-07 19:32:58,420 [INFO] EPISODE 2430, LOSS 2631.874755859375
"2023-05-07 19:32:59,605 [INFO] EPISODE 2440, LOSS 2315.0322265625
"2023-05-07 19:33:00,815 [INFO] EPISODE 2450, LOSS 2230.5078125
"2023-05-07 19:33:01,978 [INFO] EPISODE 2460, LOSS 4887.29736328125
"2023-05-07 19:33:03,024 [INFO] EPISODE 2470, LOSS 5052.13037109375
"2023-05-07 19:33:04,099 [INFO] EPISODE 2480, LOSS 2074.900390625
"2023-05-07 19:33:05,199 [INFO] EPISODE 2490, LOSS 2672.104736328125
"2023-05-07 19:33:06,249 [INFO] EPISODE 2500, LOSS 3964.40673828125
"2023-05-07 19:33:07,414 [INFO] EPISODE 2510, LOSS 3141.408203125
"2023-05-07 19:33:08,711 [INFO] EPISODE 2520, LOSS 3298.607421875
"2023-05-07 19:33:10,031 [INFO] EPISODE 2530, LOSS 2548.50927734375
"2023-05-07 19:33:11,090 [INFO] EPISODE 2540, LOSS 2839.123779296875
"2023-05-07 19:33:12,224 [INFO] EPISODE 2550, LOSS 2553.978515625
"2023-05-07 19:33:13,454 [INFO] EPISODE 2560, LOSS 4071.96240234375
"2023-05-07 19:33:14,820 [INFO] EPISODE 2570, LOSS 2616.3193359375
"2023-05-07 19:33:16,000 [INFO] EPISODE 2580, LOSS 4337.52880859375
"2023-05-07 19:33:17,139 [INFO] EPISODE 2590, LOSS 3666.12548828125
"2023-05-07 19:33:18,232 [INFO] EPISODE 2600, LOSS 1489.861328125
"2023-05-07 19:33:19,397 [INFO] EPISODE 2610, LOSS 3742.1171875
"2023-05-07 19:33:20,512 [INFO] EPISODE 2620, LOSS 2265.1015625
"2023-05-07 19:33:21,694 [INFO] EPISODE 2630, LOSS 1859.6805419921875
"2023-05-07 19:33:22,820 [INFO] EPISODE 2640, LOSS 1834.61767578125
"2023-05-07 19:33:23,945 [INFO] EPISODE 2650, LOSS 3717.116943359375
"2023-05-07 19:33:25,087 [INFO] EPISODE 2660, LOSS 3936.695068359375
"2023-05-07 19:33:26,217 [INFO] EPISODE 2670, LOSS 2706.60009765625
"2023-05-07 19:33:27,399 [INFO] EPISODE 2680, LOSS 4728.5078125
"2023-05-07 19:33:28,510 [INFO] EPISODE 2690, LOSS 3401.27880859375
"2023-05-07 19:33:29,717 [INFO] EPISODE 2700, LOSS 2072.06494140625
"2023-05-07 19:33:30,817 [INFO] EPISODE 2710, LOSS 5333.1513671875
